,Local authority,Region,Estimated jobs,Estimated jobs - local authority and independent sectors only,Estimated jobs - Direct payment recipients only,Estimated jobs - Local authority sector - Percentage,Jobs - local authority sector,Estimated jobs - Independent sector - Percentage,Total CQC regulated establishments,Estimated managerial jobs CSSR,Estimated regulated professionals jobs CSSR,Estimated direct care jobs CSSR,Estimated Other jobs CSSR,Percentage jobs full time (CSSR),Percentage jobs part time (CSSR),Percentage no fixed hours (CSSR),Percentage jobs on zero hours (CSSR),Percentage jobs zero hours (region),Average days sickness (CSSR),Average days sickness (region),Estimate whole sector number of sickness days lost for CSSR,Starters rate (CSSR),Starters rate (region),Proportion recruited from within ASC,Turnover rate (CSSR),Estimated total leavers,Turnover - (region),Exp in Sector - Average - (CSSR),Percentage in ASC 3 yrs or more,Vacancy rate - CSSR,Estimated total vacancies,Vacancy rate - (region),Gender (percentage female),Average age - CSSR,Percentage aged 24 or under - CSSR,Percentage aged 55 or over - CSSR,Nationality - British -CSSR,Nationality - EEA - CSSR,Nationality - non-EEA - CSSR,Nationality - British - Region,Qual - Percentage with - CSSR,Qual - Percentage with - Region,Care Certificate - Percentage,Senior care worker - Average hourly rate (Local authority),Senior care worker - Average hourly rate (Region),Care worker - Average hourly rate (Local authority),Care worker - Average hourly rate (Region),Support and outreach - Average hourly rate (Local authority),Support and outreach - Average hourly rate (Region),E-code,ONS Code,Local Authority (original names),Class,"Employees
 (C1)__27","Running Expenses
 (C2)__27","Total Expenditure
 (C3 = C1 + C2)__27","Sales, Fees and Charges
 (C4)__27","Other Income
 (C5)__26","Total Income
 (C6 = C4 + C5)__27","Net Current Expenditure
 (C7 = C3 - C6)__27"
1,Barking & Dagenham,London,6700,5200,1500,4%,295,73%,93,475,175,5600,425,0.40533948,0.279160494,0.315500026,0.558149676,0.390614868,2.974445749,4.121498218,13500,0.534174491,0.388760758,0.747268257,0.251065032,1200,0.272251122,6.148315206,0.676212762,0.173565892,950,0.104663279,0.792749614,43.08534252,0.045158201,0.16653656,0.529717744,0.130656455,0.3396258,0.605826199,0.529727478,0.527171039,0.187586508,8.485184617,9.568243972,7.695202828,8.683570288,8.662184057,9.985444853,E5030,E09000002,Barking & Dagenham,L,11861,57406,69267,6833,16696,23529,45738
2,Barnet,London,10500,9300,1100,3%,351,86%,166,850,400,8100,1000,0.406239409,0.392535561,0.20122503,0.386431932,0.390614868,6.08045622,4.121498218,49000,0.307029005,0.388760758,0.686626564,0.207011443,1700,0.272251122,7.826983142,0.681344929,0.104309885,950,0.104663279,0.822337368,45.3540643,0.044472681,0.254783759,0.372452652,0.246607929,0.380939419,0.605826199,0.489326449,0.527171039,0.178256533,9.533249221,9.568243972,8.271323197,8.683570288,9.137172916,9.985444853,E5031,E09000003,Barnet,L,16367.6865,127195.8758,143563.5623,26298.24642,13672.13913,39970.38555,103593.1768
3,Barnsley,Yorkshire and the Humber,6200,5200,1100,4%,250,79%,107,375,175,5000,650,0.587897725,0.322077739,0.090024536,0.249161602,0.196084667,3.652974501,6.029229693,18000,0.406732396,0.366197886,0.791230185,0.382463362,1900,0.311660638,8.333392683,0.697652487,0.048815327,250,0.055513416,0.843408453,42.39417211,0.113016392,0.221317409,0.975589618,0.008389846,0.016022493,0.925473709,0.61348206,0.57061915,0.190688993,8.255514934,8.783693196,7.708479471,7.992481685,9.320882338,9.278567484,E4401,E08000016,Barnsley,MD,11729,82092,93821,13616,18024,31640,62181
4,Bath and North East Somerset,South West,4200,3700,475,2%,82,87%,80,300,200,3100,600,0.520518277,0.410758829,0.068725588,0.115858093,0.18549455,4.282905923,5.168787304,15500,0.313979187,0.399634242,0.800897018,0.333965462,1200,0.33125035,7.176101069,0.675977157,0.081968267,325,0.074857429,0.799671363,41.62735501,0.111925222,0.201686286,0.759286696,0.177313256,0.063400048,0.84586414,0.511688172,0.527590602,0.203157072,9.700536783,8.98543731,8.869703699,8.153112596,8.58324485,8.978998695,E0101,E06000022,Bath and North East Somerset UA,UA,3549,101346,104895,249,40578,40827,64068
5,Bedford,Eastern,5900,5700,125,10%,604,87%,129,475,225,4500,650,0.574031566,0.301257565,0.12471263,0.240699406,0.261152713,2.744272439,4.934628776,14500,0.353877199,0.389379679,0.759240743,0.281120116,1500,0.339015306,7.680426417,0.723105115,0.118655001,700,0.096876067,0.816010717,42.35330111,0.106810284,0.225430484,0.755887354,0.102064491,0.142048155,0.816081532,0.54587718,0.476663883,0.109691911,9.34979583,8.964711058,8.229052396,8.184630706,9.893350012,8.946562533,E0202,E06000055,Bedford UA,UA,12757,59035,71792,8832.019,7404.437,16236.456,55555.544
6,Bexley,London,5100,4900,275,6%,289,89%,70,425,250,3900,600,0.40304602,0.372067177,0.224884745,0.37558039,0.390614868,2.956868169,4.121498218,13500,0.44871109,0.388760758,0.714826706,0.313370128,1400,0.272251122,6.971031942,0.694315469,0.126201638,650,0.104663279,0.88150778,45.36785832,0.065240389,0.263495102,0.732316621,0.070120194,0.197561126,0.605826199,0.488832634,0.527171039,0.140575862,8.889659887,9.568243972,8.152244129,8.683570288,8.75204499,9.985444853,E5032,E09000004,Bexley,L,10085,71088,81173,10864,13853,24717,56456
7,Birmingham,West Midlands,30000,28000,2300,8%,2421,84%,542,2400,1400,23000,3200,0.486035804,0.372933956,0.141029878,0.259137063,0.228483853,4.296526985,4.929270438,109000,0.36442324,0.356604118,0.631800402,0.332684833,8400,0.295452131,8.058228862,0.702981909,0.055611233,1500,0.066944312,0.799967497,42.46685133,0.100382819,0.199711825,0.812406114,0.056317489,0.131276397,0.871078776,0.595242716,0.572395799,0.188116984,9.153837213,8.844568308,7.963986001,8.011474827,9.154246101,9.473416934,E4601,E08000025,Birmingham,MD,86943,332925,419868,48852,53458,102310,317558
8,Blackburn with Darwen,North West,4100,3500,650,7%,275,77%,62,275,200,3300,375,0.564077779,0.351777957,0.084141317,0.297431348,0.214671787,3.338429106,5.507111486,9800,0.455389323,0.341105224,0.718214557,0.304189051,900,0.301673567,9.674645322,0.731426197,0.038643837,125,0.070555475,0.819124607,41.8899924,0.104791319,0.200258162,0.971154243,0.009719382,0.019126376,0.927907989,0.513270581,0.574447303,0.1056607,8.368906975,8.625317525,7.608518549,7.96388592,9.600951146,8.843358886,E2301,E06000008,Blackburn with Darwen UA,UA,7406,62444,69850,7034,17170,24204,45646
9,Blackpool,North West,5000,4500,550,11%,575,78%,93,375,200,3800,600,0.570155279,0.36353045,0.066314271,0.247424158,0.214671787,4.530994296,5.507111486,19000,0.323525455,0.341105224,0.551318867,0.273913341,1200,0.301673567,8.443975443,0.690653244,0.061003825,275,0.070555475,0.772966405,42.52032685,0.09757252,0.227470487,0.908357378,0.051837676,0.039804946,0.927907989,0.573168012,0.574447303,0.163975534,8.456299972,8.625317525,7.813403367,7.96388592,10.02689547,8.843358886,E2302,E06000009,Blackpool UA,UA,16039,59232,75271,14911,16858,31769,43502
10,Bolton,North West,7100,5700,1400,9%,663,71%,96,475,300,5700,600,0.505792222,0.377361292,0.116846486,0.201440324,0.214671787,8.428479614,5.507111486,42000,0.279517509,0.341105224,0.723044297,0.22514763,1100,0.301673567,9.238250758,0.777477931,0.037244298,200,0.070555475,0.844766676,42.66831023,0.093553888,0.217243238,0.930959892,0.018386661,0.050653447,0.927907989,0.597128189,0.574447303,0.094863434,8.685137457,8.625317525,8.119929921,7.96388592,10.54593121,8.843358886,E4201,E08000001,Bolton,MD,22209,87496,109705,12886,25592,38478,71227
